Substance,ISO,Country,geo,Subnational desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,FRA,France and Monaco,FRF3,Lorraine,40314.49,41959.51,40163.46,35147.96,34472.89,37028.25,38381.45,36805.99,39670.13,38666.08,36647.00,34303.68,35511.42,35736.41,35266.66,36128.97,35355.65,36050.55,31814.14,29757.31,32867.46,32173.47,33457.61,32779.52,27807.92,27087.68,27149.68,28018.84,26031.11,25805.95,22985.55,27388.88,27073.84,24426.10,23173.07
GWP_100_AR5_GHG,FRA,France and Monaco,FRG0,Pays de la Loire,33926.29,35652.68,34852.50,33423.62,33212.17,33857.41,35226.68,34352.23,36463.69,37169.46,37186.50,37072.91,36555.81,36941.39,36899.68,36850.29,36095.55,36537.22,36803.61,34859.23,37012.07,34745.88,35735.00,35733.01,33223.53,33860.32,35455.46,36220.20,33946.70,31782.42,29122.80,30971.59,30203.48,28586.75,27770.43
GWP_100_AR5_GHG,FRA,France and Monaco,FRH0,Bretagne,38182.74,39522.36,37995.32,37355.63,37132.07,37566.52,38250.65,37717.49,38723.39,38567.98,39321.92,39869.28,38855.75,38738.99,38745.40,38869.05,38318.37,38310.94,38126.68,37440.46,37363.25,35980.51,36127.18,36324.80,35429.01,35704.41,35380.37,35073.33,34495.11,33786.94,31956.01,32328.37,31845.88,30809.32,30312.49
GWP_100_AR5_GHG,FRA,France and Monaco,FRI1,Aquitaine,22236.55,23183.76,23050.37,22819.83,22605.14,22652.93,23286.91,23108.20,23783.28,23885.39,23834.15,24248.84,23679.60,24368.81,24253.05,23645.38,22906.64,22295.74,22296.85,22016.90,22235.55,21806.61,22388.14,21925.29,20922.94,20916.11,20812.49,20800.09,20425.71,20119.41,18226.44,19445.08,18658.50,17787.14,17400.96
GWP_100_AR5_GHG,FRA,France and Monaco,FRI2,Limousin,7103.02,7324.17,7218.15,7073.98,7047.52,7136.23,7277.41,7248.33,7381.56,7419.80,7413.75,7527.70,7389.83,7387.55,7404.43,7290.11,7219.46,6986.64,6886.77,6798.02,6806.34,6541.94,6575.03,6618.72,6368.06,6371.66,6377.61,6402.07,6240.50,6156.05,5585.72,5892.43,5742.03,5485.12,5404.41
GWP_100_AR5_GHG,FRA,France and Monaco,FRI3,Poitou-Charentes,16432.10,16913.24,16616.67,16407.73,16246.98,16348.97,16708.15,16559.12,17086.28,17278.91,17217.36,17695.47,17410.93,17355.88,17618.87,17451.43,17294.00,17136.80,17069.38,16952.34,16962.95,16495.98,16592.98,16437.61,15718.96,15655.26,15410.27,15633.91,15434.97,15272.21,13864.96,14711.06,14224.81,13698.75,13467.10
GWP_100_AR5_GHG,FRA,France and Monaco,FRJ1,Languedoc-Roussillon,16006.72,16666.22,16615.86,16527.71,16374.97,16477.77,16873.57,16806.91,17420.24,17664.85,17496.42,17869.28,17655.53,17815.45,18049.11,18030.18,17583.53,17306.64,17147.56,15886.30,16928.69,16262.46,16141.51,16204.39,15434.78,15685.74,15931.78,16069.08,15905.22,15699.95,14255.30,15188.66,14630.41,14040.32,13780.75
GWP_100_AR5_GHG,FRA,France and Monaco,FRJ2,Midi-Pyrénées,23844.97,24440.47,24185.97,23264.10,22560.17,22590.99,23143.90,22898.31,23746.90,23996.65,23589.29,23632.68,23321.14,23428.22,23823.92,23536.54,22733.58,21605.66,21270.83,20902.29,21786.61,21080.66,20852.33,20621.91,19598.49,19883.11,19925.43,19996.77,19775.54,19465.02,17653.67,18657.24,17995.97,17272.06,16971.21
GWP_100_AR5_GHG,FRA,France and Monaco,FRK1,Auvergne,11966.55,12343.11,12159.53,11980.43,11902.59,12033.21,12319.08,12184.34,12454.36,12580.39,12577.62,12913.31,12649.59,12571.09,12726.95,12587.54,12388.17,12249.58,12112.18,11841.80,11864.08,12284.74,12205.51,12029.11,11502.61,11652.23,11852.41,11924.03,11368.84,11332.72,10270.58,10776.51,10535.05,10015.31,9702.65
GWP_100_AR5_GHG,FRA,France and Monaco,FRK2,Rhône-Alpes,42792.91,45228.97,44800.71,43862.19,42054.48,42782.98,44046.54,42509.55,42161.53,43083.27,42519.51,43060.03,42454.82,42494.17,43065.31,42705.36,40883.97,40174.27,40705.15,39772.74,39461.41,37688.72,37614.94,37403.85,35061.18,35247.01,35561.82,35763.44,35057.55,34574.14,31422.85,33545.95,32065.72,30478.70,29768.98
