,geo,region_name,Country,EU Region,GDP per Capita,GDP per Capita (PPS),Unemployment %,Employment in Hi-tech Sectors %,Life Expectancy,Doctors per 100K,Heart Disease Deaths per 100K,Cancer Deaths per 100K,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %,Land Covered by Buildings and Roads %,Land Covered by Crops %,pc_1,pc_2,Cluster
15,BG41,Югозападен (Yugozapaden),BG,Central and Eastern Europe,23500.00,101.00,3.50,10.20,76.80,486.75,112.84,198.55,48.00,41.80,99.80,20.30,83.96,2.60,9.00,-8.84,-1.60,Cluster 0
16,BG42,Южен централен (Yuzhen tsentralen),BG,Central and Eastern Europe,9500.00,41.00,3.10,3.60,76.10,442.81,350.84,236.04,67.00,24.90,58.90,35.80,72.98,2.10,19.50,-8.97,12.58,Cluster 3
17,CZ01,Praha,CZ,Central and Eastern Europe,63500.00,197.00,2.10,12.70,81.40,732.15,222.10,242.04,17.00,53.20,2826.90,10.20,92.38,31.00,19.20,-0.76,-17.15,Cluster 2
18,CZ02,Střední Čechy,CZ,Central and Eastern Europe,26400.00,82.00,1.70,5.50,79.80,275.48,237.02,262.99,56.00,25.10,135.10,10.20,83.36,5.30,42.00,-8.61,4.16,Cluster 3
19,CZ03,Jihozápad,CZ,Central and Eastern Europe,24600.00,77.00,1.90,3.80,80.00,393.18,165.90,259.88,68.00,24.10,73.70,10.00,85.67,3.20,23.10,-6.98,2.95,Cluster 3
20,CZ04,Severozápad,CZ,Central and Eastern Europe,20000.00,62.00,4.10,2.20,78.00,335.60,253.66,289.30,42.00,16.70,130.50,15.80,86.27,5.00,19.00,-6.92,5.54,Cluster 3
21,CZ05,Severovýchod,CZ,Central and Eastern Europe,23800.00,74.00,2.80,4.20,80.20,376.37,215.35,245.20,64.00,21.20,125.30,10.30,77.43,4.30,27.90,-7.48,3.42,Cluster 3
22,CZ06,Jihovýchod,CZ,Central and Eastern Europe,27500.00,85.00,2.20,5.80,80.50,435.18,217.01,242.60,49.00,28.20,126.80,11.90,83.19,4.40,41.80,-8.34,3.20,Cluster 3
23,CZ07,Střední Morava,CZ,Central and Eastern Europe,23700.00,74.00,2.50,3.40,79.80,412.62,199.75,246.68,32.00,22.30,133.00,11.50,84.76,5.20,30.10,-6.57,3.70,Cluster 3
24,CZ08,Moravskoslezsko,CZ,Central and Eastern Europe,22600.00,70.00,3.90,4.10,78.50,400.78,232.06,261.72,34.00,22.00,223.80,17.60,87.02,6.90,21.90,-6.59,4.64,Cluster 3
25,DK01,Hovedstaden,DK,Northern Europe,85000.00,170.00,5.20,11.10,81.90,578.71,46.99,251.25,17.00,55.10,780.90,17.90,96.34,16.30,22.40,0.35,-13.80,Cluster 0
26,DK02,Sjælland,DK,Northern Europe,44600.00,89.00,4.60,5.90,81.10,228.21,63.77,278.50,42.00,33.10,120.30,16.70,94.48,6.60,48.60,-9.33,-7.78,Cluster 0
27,DK03,Syddanmark,DK,Northern Europe,54500.00,109.00,5.20,2.30,81.50,419.42,59.34,269.78,24.00,35.10,103.20,16.70,94.99,6.60,46.60,-8.33,-6.29,Cluster 0
28,DK04,Midtjylland,DK,Northern Europe,54600.00,109.00,5.40,4.40,82.00,456.37,58.69,260.49,38.00,41.20,106.70,18.70,96.17,6.00,45.20,-7.75,-6.71,Cluster 0
29,DK05,Nordjylland,DK,Northern Europe,50000.00,100.00,4.70,3.70,81.40,337.27,60.25,271.38,20.00,35.10,76.90,20.70,90.81,6.20,45.00,-8.76,-6.43,Cluster 0
30,DE11,Stuttgart,DE,Western Europe,67300.00,156.00,2.90,6.60,82.30,519.53,111.21,201.67,25.00,37.00,393.80,17.10,91.24,11.70,30.40,-0.68,-10.17,Cluster 0
31,DE12,Karlsruhe,DE,Western Europe,54100.00,126.00,2.90,8.80,81.70,465.70,122.70,217.80,33.00,37.00,413.70,20.50,90.65,16.50,20.50,-1.98,-9.99,Cluster 0
32,DE13,Freiburg,DE,Western Europe,45900.00,107.00,2.20,6.50,82.00,382.69,100.64,207.77,33.00,34.00,249.70,19.40,90.87,7.20,18.20,-1.89,-7.19,Cluster 0
33,DE14,Tübingen,DE,Western Europe,53500.00,124.00,2.10,6.70,82.50,465.70,108.31,201.01,49.00,37.30,218.20,15.70,90.65,7.40,22.10,-1.00,-7.42,Cluster 0
34,DE21,Oberbayern,DE,Western Europe,74700.00,174.00,2.30,9.30,82.40,480.23,101.17,207.05,30.00,42.60,274.40,14.90,94.19,7.70,20.40,0.24,-11.21,Cluster 0
35,DE22,Niederbayern,DE,Western Europe,49900.00,116.00,4.88,3.80,80.90,340.97,116.81,226.87,54.00,26.00,121.70,17.30,91.80,7.00,29.10,-3.35,-5.08,Cluster 0
36,DE23,Oberpfalz,DE,Western Europe,54200.00,126.00,2.10,4.90,80.70,465.70,128.07,231.65,51.00,31.40,115.30,12.90,90.65,5.90,24.00,-1.90,-5.25,Cluster 0
37,DE24,Oberfranken,DE,Western Europe,47900.00,111.00,2.50,3.80,80.60,421.79,159.03,233.62,30.00,26.30,146.00,18.10,87.44,7.20,24.20,-3.44,-3.24,Cluster 0
38,DE25,Mittelfranken,DE,Western Europe,55500.00,129.00,2.40,6.90,81.10,442.83,127.02,225.46,32.00,36.00,247.70,19.60,90.85,8.60,29.70,-2.29,-8.34,Cluster 0
39,DE26,Unterfranken,DE,Western Europe,50800.00,118.00,2.10,4.50,81.50,318.02,129.95,211.87,41.00,32.30,154.50,15.70,93.90,7.80,29.10,-3.01,-6.28,Cluster 0
40,DE27,Schwaben,DE,Western Europe,48100.00,112.00,1.80,4.60,81.80,445.11,112.43,213.81,45.00,31.20,193.40,16.00,89.42,6.80,21.40,-1.46,-5.67,Cluster 0
41,DE30,Berlin,DE,Western Europe,54700.00,127.00,5.20,9.80,80.90,434.65,123.57,241.14,9.00,45.10,4311.60,21.50,92.95,36.10,3.10,-2.35,-17.08,Cluster 2
42,DE40,Brandenburg,DE,Western Europe,37500.00,87.00,3.30,4.00,80.50,453.71,144.04,244.97,42.00,30.40,87.90,20.00,84.81,3.90,26.00,-3.81,-0.31,Cluster 0
43,DE50,Bremen,DE,Western Europe,58000.00,135.00,4.70,5.10,79.40,382.31,132.89,249.12,17.00,29.90,1788.30,32.30,90.37,42.40,3.10,-3.11,-15.98,Cluster 2
44,DE60,Hamburg,DE,Western Europe,84200.00,195.00,4.10,7.00,80.70,480.23,87.61,249.56,15.00,40.00,2594.60,25.60,94.60,29.80,7.50,-2.36,-16.14,Cluster 2
45,DE71,Darmstadt,DE,Western Europe,64100.00,149.00,3.10,7.30,81.50,500.46,121.22,228.40,24.00,37.10,542.60,22.00,89.91,11.20,21.10,-1.24,-9.85,Cluster 0
46,DE72,Gießen,DE,Western Europe,43400.00,101.00,3.00,4.20,80.60,457.11,143.82,236.00,36.00,30.90,193.30,25.00,91.08,7.00,19.20,-4.47,-3.20,Cluster 0
47,DE73,Kassel,DE,Western Europe,46800.00,109.00,2.10,3.00,80.40,400.05,137.16,227.99,44.00,27.40,145.20,24.10,90.12,7.50,23.10,-4.00,-3.85,Cluster 0
48,DE80,Mecklenburg-Vorpommern,DE,Western Europe,37400.00,87.00,4.30,2.70,79.80,453.71,164.17,269.21,36.00,27.00,69.90,23.90,84.81,3.60,33.60,-4.71,1.20,Cluster 3
49,DE91,Braunschweig,DE,Western Europe,55900.00,130.00,3.10,5.10,80.10,442.83,136.57,247.48,46.00,34.40,196.80,23.00,90.85,8.00,33.80,-5.15,-6.46,Cluster 0
50,DE92,Hannover,DE,Western Europe,48300.00,112.00,3.00,4.60,80.20,429.60,129.38,246.05,46.00,31.00,235.80,24.50,89.94,7.50,39.50,-5.34,-5.67,Cluster 0
51,DE93,Lüneburg,DE,Western Europe,36500.00,85.00,2.60,3.20,80.40,412.86,129.52,244.80,57.00,27.30,111.70,19.90,87.06,5.40,23.80,-3.97,-0.82,Cluster 0
52,DE94,Weser-Ems,DE,Western Europe,45700.00,106.00,2.50,2.90,80.20,382.69,136.05,237.89,60.00,27.50,172.20,22.80,92.26,7.70,32.70,-4.26,-4.64,Cluster 0
53,DEA1,Düsseldorf,DE,Western Europe,50700.00,118.00,4.00,4.70,80.10,318.02,100.09,254.84,22.00,29.30,1011.70,26.20,93.90,18.00,25.80,-5.07,-8.43,Cluster 0
54,DEA2,Köln,DE,Western Europe,51600.00,120.00,3.30,7.70,81.00,304.15,105.39,240.25,27.00,37.00,612.90,24.90,92.26,13.10,25.20,-3.83,-8.79,Cluster 0
55,DEA3,Münster,DE,Western Europe,41700.00,97.00,3.00,3.60,80.50,423.76,100.19,247.46,28.00,27.60,383.50,27.90,92.08,12.20,39.50,-6.56,-4.97,Cluster 0
56,DEA4,Detmold,DE,Western Europe,46500.00,108.00,2.40,4.40,81.00,400.05,102.72,233.78,27.00,28.50,318.70,22.30,90.12,10.10,35.40,-5.59,-5.10,Cluster 0
57,DEA5,Arnsberg,DE,Western Europe,42900.00,100.00,3.60,4.20,79.80,464.38,105.00,257.48,24.00,27.30,447.90,23.80,91.44,12.70,15.40,-5.95,-2.94,Cluster 0
58,DEB1,Koblenz,DE,Western Europe,41900.00,97.00,2.50,4.10,80.80,435.59,143.29,244.39,32.00,27.60,190.20,19.80,90.81,8.50,15.00,-4.67,-2.69,Cluster 0
59,DEB2,Trier,DE,Western Europe,38600.00,90.00,6.46,3.80,80.90,549.84,128.14,249.21,49.00,29.20,107.30,13.50,88.72,6.70,19.90,-2.06,-1.59,Cluster 0
60,DEB3,Rheinhessen-Pfalz,DE,Western Europe,47300.00,110.00,3.60,6.00,81.20,371.27,124.14,232.02,28.00,33.80,304.10,21.70,90.89,9.50,28.20,-3.71,-7.30,Cluster 0
61,DEC0,Saarland,DE,Western Europe,41800.00,97.00,3.40,5.10,79.80,435.59,137.62,252.26,34.00,26.60,394.90,20.80,92.08,13.10,13.70,-5.66,-2.75,Cluster 0
62,DED2,Dresden,DE,Western Europe,39900.00,93.00,2.40,7.50,81.60,565.86,123.66,219.85,48.00,35.50,204.50,16.20,88.48,7.50,24.90,-0.38,-6.77,Cluster 0
63,DED4,Chemnitz,DE,Western Europe,35500.00,82.00,3.30,3.70,80.40,369.36,168.03,235.65,44.00,24.30,214.60,23.30,82.78,7.90,29.70,-4.91,0.12,Cluster 0
64,DED5,Leipzig,DE,Western Europe,42400.00,98.00,4.50,5.50,81.00,428.01,154.89,238.38,46.00,36.00,273.70,20.10,90.13,8.60,37.50,-4.61,-5.90,Cluster 0
65,DEE0,Sachsen-Anhalt,DE,Western Europe,36400.00,85.00,3.80,2.50,79.00,373.28,165.68,272.30,61.00,25.60,106.10,28.20,83.45,5.70,37.00,-4.77,1.98,Cluster 3
66,DEF0,Schleswig-Holstein,DE,Western Europe,41500.00,96.00,3.10,3.90,80.60,423.76,130.01,256.65,30.00,29.10,191.20,19.40,92.08,7.50,33.40,-5.79,-4.35,Cluster 0
67,DEG0,Thüringen,DE,Western Europe,36400.00,84.00,3.10,4.80,80.30,408.47,136.75,231.41,46.00,27.90,131.40,22.10,84.89,5.80,30.10,-4.56,-0.46,Cluster 0
68,EE00,Eesti,EE,Northern Europe,28100.00,80.00,6.40,6.50,78.90,450.37,149.66,250.15,43.00,41.60,31.80,23.34,89.02,1.90,13.40,4.00,-0.78,Cluster 0
69,IE04,Northern and Western,IE,Western Europe,47500.00,104.00,3.80,6.90,82.70,371.27,124.24,242.44,63.00,52.00,37.60,20.10,90.70,2.70,0.30,7.22,-8.68,Cluster 0
70,IE05,Southern,IE,Western Europe,104200.00,229.00,4.20,9.30,82.20,480.23,124.55,251.23,37.00,50.40,59.80,17.70,88.74,5.10,6.50,1.97,-13.47,Cluster 0
71,IE06,Eastern and Midland,IE,Western Europe,114200.00,251.00,4.50,11.50,83.10,480.23,100.36,243.04,21.00,58.00,182.90,19.80,92.57,6.90,11.00,1.96,-13.53,Cluster 0
72,EL30,Aττική (Attiki),EL,Southern Europe,29700.00,96.00,9.40,6.30,81.60,839.75,113.89,240.49,50.80,43.70,1000.50,22.70,83.92,17.10,13.00,13.29,-2.21,Cluster 0
73,EL41,Βόρειο Αιγαίο (Voreio Aigaio),EL,Southern Europe,13100.00,42.00,10.00,2.86,83.60,388.59,73.23,200.94,73.20,26.70,52.10,30.40,83.15,4.90,20.90,9.62,7.58,Cluster 1
74,EL42,Νότιο Αιγαίο (Notio Aigaio),EL,Southern Europe,21600.00,69.00,7.10,3.60,82.40,400.25,90.61,216.02,53.40,20.10,62.50,20.50,78.47,4.90,7.70,8.03,5.98,Cluster 0
75,EL43,Κρήτη (Kriti),EL,Southern Europe,18300.00,59.00,10.80,1.70,82.30,626.77,70.85,220.75,58.80,28.40,75.00,18.50,83.86,4.60,28.60,11.36,6.87,Cluster 1
76,EL51,"Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)",EL,Southern Europe,13800.00,44.00,12.10,0.90,80.50,553.24,122.67,237.77,63.00,24.50,40.00,31.90,79.58,3.20,20.30,11.16,8.58,Cluster 1
77,EL52,Κεντρική Μακεδονία (Kentriki Makedonia),EL,Southern Europe,17000.00,55.00,14.10,2.80,81.50,684.99,97.47,245.74,55.40,34.20,96.30,29.60,81.67,4.70,26.20,12.24,7.95,Cluster 1
78,EL53,Δυτική Μακεδονία (Dytiki Makedonia),EL,Southern Europe,15500.00,50.00,16.70,1.50,82.10,311.13,91.20,233.85,66.20,28.50,27.00,32.70,78.20,2.50,11.50,11.78,9.90,Cluster 1
79,EL54,Ήπειρος (Ipeiros),EL,Southern Europe,13800.00,44.00,13.80,1.50,83.50,770.15,79.04,207.43,63.00,36.30,35.20,20.10,79.58,2.30,7.00,12.75,6.60,Cluster 1
80,EL61,Θεσσαλία (Thessalia),EL,Southern Europe,16300.00,52.00,12.90,1.00,81.30,601.50,81.18,234.76,54.20,33.10,48.80,24.70,77.20,3.30,25.30,11.74,7.72,Cluster 1
81,EL62,Ιόνια Νησιά (Ionia Nisia),EL,Southern Europe,19500.00,63.00,14.70,3.66,81.70,512.77,82.02,223.27,63.80,22.30,88.50,27.70,81.58,5.10,22.20,10.31,9.38,Cluster 1
82,EL63,Δυτική Ελλάδα (Dytiki Ellada),EL,Southern Europe,15200.00,49.00,9.80,2.10,81.60,509.91,78.13,235.41,70.80,27.80,58.10,35.20,77.89,3.70,19.50,10.53,8.50,Cluster 1
83,EL64,Στερεά Ελλάδα (Sterea Ellada),EL,Southern Europe,18500.00,59.00,9.90,1.10,81.60,349.25,122.33,218.23,66.00,20.00,32.70,22.80,82.94,3.40,16.50,9.09,6.79,Cluster 1
84,EL65,Πελοπόννησος (Peloponnisos),EL,Southern Europe,17800.00,57.00,9.60,1.60,81.50,423.10,94.99,219.08,68.20,26.20,34.50,35.70,82.78,3.30,23.00,9.91,8.22,Cluster 1
85,ES11,Galicia,ES,Southern Europe,28700.00,84.00,9.70,3.10,83.70,404.46,47.78,217.27,47.00,41.40,92.00,25.50,85.94,5.00,7.40,9.30,-1.08,Cluster 0
86,ES12,Principado de Asturias,ES,Southern Europe,28100.00,82.00,12.10,3.80,83.10,542.35,61.86,235.16,49.00,43.60,95.40,25.00,87.31,5.10,2.70,10.29,-1.46,Cluster 0
87,ES13,Cantabria,ES,Southern Europe,28400.00,83.00,8.10,3.90,84.20,508.80,42.10,221.27,41.00,49.40,111.90,22.00,87.07,4.10,2.60,9.63,-2.14,Cluster 0
88,ES21,País Vasco,ES,Southern Europe,39000.00,114.00,7.70,5.00,84.50,556.48,40.76,221.07,25.00,55.70,309.00,15.50,88.51,6.60,9.70,9.88,-3.56,Cluster 0
89,ES22,Comunidad Foral de Navarra,ES,Southern Europe,37000.00,108.00,9.90,3.00,84.90,532.99,42.02,207.87,25.00,48.30,65.30,17.20,90.28,3.60,18.70,9.17,-3.43,Cluster 0
90,ES23,La Rioja,ES,Southern Europe,32400.00,95.00,9.40,2.40,84.20,381.46,47.52,207.80,37.00,40.20,64.20,21.80,88.36,3.70,27.40,9.45,0.46,Cluster 1
91,ES24,Aragón,ES,Southern Europe,34700.00,102.00,8.60,3.00,84.10,519.82,47.95,224.64,55.00,42.90,28.40,20.40,88.44,2.60,21.90,8.58,-0.34,Cluster 0
92,ES30,Comunidad de Madrid,ES,Southern Europe,42600.00,125.00,10.00,8.20,85.50,545.01,40.02,187.28,20.00,50.50,870.60,19.40,93.45,11.50,15.10,3.35,-10.58,Cluster 0
93,ES41,Castilla y León,ES,Southern Europe,29300.00,86.00,9.70,3.00,84.60,404.83,44.66,212.65,70.00,40.80,25.50,22.40,88.04,2.70,33.40,8.74,1.53,Cluster 1
94,ES42,Castilla-La Mancha,ES,Southern Europe,25100.00,73.00,13.20,3.50,83.90,340.55,48.11,207.94,58.00,32.70,26.50,31.70,88.24,2.80,37.90,7.61,11.24,Cluster 1
95,ES43,Extremadura,ES,Southern Europe,23900.00,70.00,17.40,2.30,83.10,527.84,56.73,220.69,66.00,34.50,25.80,32.80,84.36,2.40,19.10,10.35,10.32,Cluster 1
96,ES51,Cataluña,ES,Southern Europe,35600.00,104.00,9.30,5.50,84.00,412.15,43.57,206.35,36.00,44.80,248.90,21.20,92.86,5.90,19.90,9.06,-4.59,Cluster 0
97,ES52,Comunitat Valenciana ,ES,Southern Europe,26500.00,78.00,12.80,3.60,83.20,376.44,61.35,217.40,29.00,38.60,227.70,29.60,89.41,6.90,25.60,8.16,11.98,Cluster 1
98,ES53,Illes Balears,ES,Southern Europe,34000.00,99.00,10.30,2.40,83.70,447.73,50.90,218.38,52.00,33.50,245.50,20.60,92.82,6.40,24.70,8.89,0.59,Cluster 1
99,ES61,Andalucía,ES,Southern Europe,23200.00,68.00,18.30,3.10,82.50,382.92,65.85,220.37,36.00,35.80,99.20,37.50,88.72,4.30,33.50,9.12,12.38,Cluster 1
100,ES62,Región de Murcia,ES,Southern Europe,25500.00,75.00,12.80,2.30,82.80,433.69,60.54,218.83,40.00,32.70,138.00,30.50,89.45,7.40,24.80,8.60,11.35,Cluster 1
101,ES63,Ciudad de Ceuta,ES,Southern Europe,22400.00,66.00,30.00,3.14,81.20,601.57,92.99,204.97,12.00,21.20,4155.80,41.80,90.72,7.84,32.24,-14.69,-1.20,Cluster 1
102,ES64,Ciudad de Melilla,ES,Southern Europe,20500.00,60.00,26.60,3.12,81.60,376.95,91.06,191.59,0.00,32.80,6124.20,36.70,96.63,5.54,26.22,-14.69,-1.21,Cluster 1
103,ES70,Canarias,ES,Southern Europe,24300.00,71.00,16.10,2.00,82.60,453.66,79.68,217.72,31.00,34.30,299.90,33.80,89.49,4.94,22.88,9.08,11.76,Cluster 1
104,FR10,Ile-de-France,FR,Western Europe,66800.00,160.00,7.60,8.20,84.50,440.58,32.56,194.22,21.00,56.50,1039.10,19.20,89.02,13.90,28.40,-0.78,-12.35,Cluster 0
105,FRB0,Centre — Val de Loire,FR,Western Europe,34800.00,83.00,5.70,3.60,82.60,297.34,43.53,233.01,67.00,37.80,65.80,15.30,80.98,4.50,41.40,2.51,3.34,Cluster 0
106,FRC1,Bourgogne,FR,Western Europe,34700.00,83.00,7.30,2.30,82.30,357.55,42.40,227.81,81.00,36.40,51.30,18.30,81.41,3.50,24.00,5.52,3.89,Cluster 0
107,FRC2,Franche-Comté,FR,Western Europe,31200.00,75.00,5.70,5.70,82.20,375.29,40.14,218.34,73.00,36.90,72.80,15.90,78.17,4.30,14.00,6.87,2.86,Cluster 0
108,FRD1,Basse-Normandie ,FR,Western Europe,33900.00,81.00,6.00,2.20,82.30,375.97,47.63,239.48,57.00,38.60,83.30,16.10,79.70,6.00,35.60,3.24,3.65,Cluster 0
109,FRD2,Haute-Normandie ,FR,Western Europe,35000.00,84.00,6.90,2.70,81.80,340.93,48.47,247.88,40.00,35.00,152.10,17.30,78.07,5.50,41.70,2.23,4.33,Cluster 0
110,FRE1,Nord-Pas de Calais,FR,Western Europe,32600.00,78.00,9.80,2.80,81.10,376.95,45.11,260.50,41.00,34.90,328.00,26.60,84.21,10.90,51.10,1.42,5.81,Cluster 0
111,FRE2,Picardie,FR,Western Europe,30700.00,74.00,9.10,2.30,81.40,308.19,44.23,237.45,52.00,32.60,98.80,21.00,77.94,5.00,54.30,1.91,4.96,Cluster 0
112,FRF1,Alsace,FR,Western Europe,37900.00,91.00,5.90,4.20,82.80,430.14,46.48,223.79,37.00,44.50,233.50,17.70,84.59,8.40,27.80,6.20,-1.12,Cluster 0
113,FRF2,Champagne-Ardenne,FR,Western Europe,37000.00,89.00,7.10,1.00,81.60,357.04,39.63,229.50,87.00,30.10,51.10,20.60,83.08,4.30,37.60,4.49,4.34,Cluster 0
114,FRF3,Lorraine,FR,Western Europe,30500.00,73.00,7.40,1.90,81.80,361.46,42.80,242.26,44.00,32.20,98.50,22.20,80.63,5.10,27.80,3.50,5.03,Cluster 0
115,FRG0,Pays de la Loire,FR,Western Europe,36700.00,88.00,6.10,3.60,83.30,345.24,38.90,227.87,50.00,38.70,121.40,16.40,83.82,7.70,39.00,2.95,2.60,Cluster 0
116,FRH0,Bretagne,FR,Western Europe,35400.00,85.00,5.40,3.80,82.50,391.78,44.53,231.10,52.00,40.20,126.00,15.30,84.28,8.20,37.00,3.07,2.25,Cluster 0
117,FRI1,Aquitaine,FR,Western Europe,36800.00,88.00,7.20,4.10,83.40,421.00,36.26,223.42,57.00,40.50,86.80,19.30,88.15,5.30,18.60,7.60,-0.28,Cluster 0
118,FRI2,Limousin,FR,Western Europe,31500.00,76.00,6.30,1.90,82.30,394.06,41.51,224.17,66.00,40.70,42.80,22.50,77.82,4.20,12.10,6.85,3.76,Cluster 0
119,FRI3,Poitou-Charentes,FR,Western Europe,34500.00,83.00,7.30,1.50,82.60,339.02,42.30,232.77,64.00,36.60,71.00,18.00,79.95,5.70,43.00,3.05,4.13,Cluster 0
120,FRJ1,Languedoc-Roussillon,FR,Western Europe,32400.00,78.00,9.20,4.40,82.70,400.44,40.82,229.81,68.00,38.90,108.20,23.30,85.22,5.90,16.90,7.06,1.11,Cluster 0
121,FRJ2,Midi-Pyrénées,FR,Western Europe,37600.00,90.00,6.10,5.40,83.60,372.63,38.92,213.63,51.00,46.30,70.10,21.00,84.26,4.20,26.40,6.95,-1.14,Cluster 0
122,FRK1,Auvergne,FR,Western Europe,33600.00,81.00,7.10,2.60,82.40,373.90,42.76,234.37,65.00,34.90,52.50,15.40,76.89,4.20,14.00,6.43,3.62,Cluster 0
123,FRK2,Rhône-Alpes,FR,Western Europe,42400.00,102.00,6.50,6.00,84.20,398.41,33.65,204.70,45.00,46.90,154.70,18.50,84.90,6.10,13.00,7.68,-2.45,Cluster 0
124,FRL0,Provence-Alpes-Côte d’Azur,FR,Western Europe,40500.00,97.00,7.10,4.20,83.50,450.89,34.64,208.25,49.00,42.10,166.70,21.50,86.00,5.90,9.80,8.21,-1.74,Cluster 0
125,FRM0,Corse,FR,Western Europe,36000.00,86.00,6.90,3.94,83.80,335.07,41.73,213.77,89.00,32.50,41.00,23.30,72.20,2.30,2.40,8.16,3.99,Cluster 0
126,FRY1,Guadeloupe,FR,Western Europe,27500.00,66.00,18.60,2.20,80.30,346.51,23.58,195.41,96.00,27.50,246.00,36.00,75.54,4.56,21.96,12.77,10.59,Cluster 1
127,FRY2,Martinique ,FR,Western Europe,28500.00,68.00,10.80,3.80,81.60,377.79,20.38,190.99,67.00,29.20,325.20,30.50,73.50,3.98,9.06,9.30,5.34,Cluster 0
128,FRY3,Guyane,FR,Western Europe,17700.00,42.00,14.00,4.48,79.40,254.35,21.51,167.80,115.00,23.70,3.50,60.30,74.04,4.80,26.32,13.65,11.60,Cluster 1
129,FRY4,La Réunion ,FR,Western Europe,26700.00,64.00,19.00,1.40,82.10,396.50,50.87,187.51,33.00,24.40,358.90,40.80,78.08,4.86,30.82,10.65,12.47,Cluster 1
130,FRY5,Mayotte,FR,Western Europe,12000.00,29.00,6.48,2.10,75.00,83.11,27.48,225.72,22.00,19.98,863.70,33.78,77.97,2.72,42.40,-4.60,11.45,Cluster 0
