,region_name,Country,EU Region,GDP,GDP per Capita,Unemployment %,Life Expectancy,Doctors per 100000,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %,pc_1,pc_2
156,Provincia Autonoma di Trento,IT,Southern Europe,20.04,36900.00,4.80,82.80,329.25,46.00,22.40,88.20,14.00,83.00,8562.34,-380.39
157,Puglia,IT,Southern Europe,71.64,18200.00,14.60,82.70,384.75,40.00,15.30,206.80,37.40,70.00,-10133.99,-1.06
158,Região Autónoma da Madeira,PT,Southern Europe,4.46,17600.00,8.00,79.10,442.35,39.00,22.90,318.00,32.20,76.00,-10732.44,120.20
159,Região Autónoma dos Açores,PT,Southern Europe,4.15,17100.00,7.20,77.90,354.58,70.00,15.80,105.30,36.70,71.00,-11235.49,-88.72
160,Región de Murcia,ES,Southern Europe,29.94,19800.00,14.30,82.40,452.19,26.00,32.80,132.40,31.90,87.00,-8535.13,-95.16
161,Rheinhessen-Pfalz,DE,Western Europe,76.69,37200.00,4.40,81.20,362.71,23.00,32.70,303.20,16.50,86.40,8865.47,-168.20
162,Rhône-Alpes,FR,Western Europe,231.70,34300.00,7.20,82.80,345.62,39.00,43.20,150.90,18.74,78.00,5963.95,-280.51
163,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE,Western Europe,83.85,68400.00,12.40,79.40,390.38,13.00,49.30,7526.70,18.40,89.00,40161.94,6619.48
164,Saarland,DE,Western Europe,33.95,34500.00,3.00,80.20,332.22,21.00,26.30,385.50,21.60,85.40,6166.72,-49.80
165,Sachsen-Anhalt,DE,Western Europe,63.54,29000.00,4.40,79.70,408.93,56.00,22.60,108.70,18.60,82.00,663.61,-247.75
166,Salzburg,AT,Western Europe,27.95,49900.00,4.60,82.20,581.16,50.00,32.50,78.90,15.56,81.00,21561.35,-560.58
167,Sardegna,IT,Southern Europe,32.38,20200.00,13.50,82.80,482.15,59.00,17.70,68.30,28.10,80.00,-8136.03,-163.91
168,Schleswig-Holstein,DE,Western Europe,98.36,33800.00,3.40,81.20,321.70,37.00,26.90,188.20,20.80,85.40,5464.19,-237.56
169,Schwaben,DE,Western Europe,74.76,39300.00,2.90,81.80,470.54,37.00,32.40,191.50,16.30,87.00,10963.88,-305.14
170,Severovýchod,CZ,Central and Eastern Europe,25.46,16800.00,2.40,78.70,350.83,53.00,20.50,123.70,12.90,77.00,-11535.15,-66.18
171,Severozápad,CZ,Central and Eastern Europe,15.20,13600.00,4.30,76.40,325.10,56.00,13.70,131.70,21.50,76.00,-14734.79,-14.88
172,Sicilia,IT,Southern Europe,83.33,17200.00,18.70,81.90,441.16,33.00,14.90,192.10,48.70,70.00,-11133.97,0.18
173,Sjeverna Hrvatska,HR,Central and Eastern Europe,8.06,10000.00,4.60,77.36,271.76,61.60,26.54,70.74,23.30,76.80,-18335.38,-27.92
174,Sjælland,DK,Northern Europe,31.53,37600.00,5.00,80.60,364.26,26.00,30.40,118.30,12.30,94.00,9262.79,-358.59
175,Småland med öarna,SE,Northern Europe,33.34,38200.00,7.50,82.50,382.98,23.00,37.20,26.20,16.40,90.00,9861.50,-458.22
176,Sostinės regionas,LT,Northern Europe,21.14,25600.00,4.80,75.80,580.98,50.00,58.60,86.60,21.20,81.00,-2736.15,-216.77
177,Southern,IE,Western Europe,160.27,97500.00,6.50,82.50,485.59,38.00,45.60,55.60,20.40,92.00,69156.46,-1245.12
178,Steiermark,AT,Western Europe,48.59,39000.00,4.30,81.10,521.32,42.00,31.10,76.60,15.04,75.00,10662.34,-414.13
179,Stockholm,SE,Northern Europe,153.56,64400.00,8.20,82.30,458.82,5.00,53.70,361.80,14.80,94.00,36063.93,-482.09
180,Stredné Slovensko,SK,Central and Eastern Europe,17.92,13400.00,7.50,76.80,330.86,56.00,23.70,82.70,21.50,79.00,-14935.43,-60.85
181,Stuttgart,DE,Western Europe,215.44,51900.00,3.10,82.30,437.56,24.00,34.70,393.30,13.30,91.60,23565.68,-278.44
182,Střední Morava,CZ,Central and Eastern Europe,19.96,16500.00,2.20,77.80,380.58,40.00,22.30,133.20,12.90,81.00,-11834.94,-51.42
183,Střední Čechy,CZ,Central and Eastern Europe,25.05,18000.00,2.50,78.50,265.17,62.00,24.20,128.50,9.60,79.00,-10335.34,-81.06
184,Sud-Est,RO,Central and Eastern Europe,21.53,9100.00,6.00,73.70,219.85,95.00,13.10,70.90,40.10,64.00,-19235.38,-17.31
185,Sud-Muntenia,RO,Central and Eastern Europe,24.95,8600.00,7.70,73.70,159.76,99.00,13.10,86.10,36.50,65.00,-19735.21,2.66
186,Sud-Vest Oltenia,RO,Central and Eastern Europe,16.92,8900.00,9.20,75.00,311.52,90.00,16.70,66.90,38.90,62.00,-19435.27,-15.28
187,Syddanmark,DK,Northern Europe,58.01,47400.00,4.40,81.80,408.18,43.00,33.50,102.00,16.60,94.00,19061.71,-508.89
188,Sydsverige,SE,Northern Europe,61.75,40000.00,11.20,82.60,434.48,27.00,45.40,110.10,25.40,91.00,11662.62,-397.37
189,Thüringen,DE,Western Europe,62.22,29300.00,3.30,80.70,408.93,39.00,29.10,132.40,19.30,82.00,963.92,-228.11
190,Tirol,AT,Western Europe,33.45,44100.00,4.80,82.40,588.76,34.00,31.90,60.40,16.26,81.00,15761.70,-498.46
191,Toscana,IT,Southern Europe,111.31,30100.00,7.50,83.40,444.77,41.00,21.10,162.70,18.70,83.00,1764.42,-207.51
192,Trier,DE,Western Europe,16.30,30500.00,7.02,81.10,441.46,51.00,31.60,108.50,21.40,81.00,2163.42,-267.64
193,Tübingen,DE,Western Europe,80.71,43300.00,2.90,82.50,434.01,33.00,32.20,214.20,14.10,85.60,14963.75,-339.04
194,Umbria,IT,Southern Europe,21.45,24700.00,6.60,83.70,456.90,52.00,23.10,105.50,13.30,83.00,-3636.01,-189.88
195,Unterfranken,DE,Western Europe,53.07,40300.00,2.30,82.00,394.29,34.00,31.30,155.10,17.50,89.80,11963.11,-358.08
196,Utrecht,NL,Western Europe,76.84,58100.00,4.00,81.80,590.14,25.00,55.70,934.60,15.60,93.00,29772.47,181.71
197,Valle d’Aosta/Vallée d’Aoste,IT,Southern Europe,4.52,36300.00,7.30,81.40,366.99,0.00,18.90,38.60,8.10,84.00,7961.78,-420.10
198,Veneto,IT,Southern Europe,151.91,31200.00,5.30,83.10,345.71,47.00,19.80,282.00,11.10,81.00,2865.88,-106.95
199,Vest,RO,Central and Eastern Europe,20.72,11700.00,3.50,74.00,416.35,81.00,17.00,55.70,21.90,71.00,-16635.51,-61.45
200,Vidurio ir vakarų Lietuvos regionas ,LT,Northern Europe,28.37,14400.00,8.20,74.80,405.84,68.00,37.80,37.20,28.30,76.00,-13936.02,-117.51
201,Vorarlberg,AT,Western Europe,18.21,45700.00,4.10,82.50,432.63,40.00,29.20,156.30,16.72,79.00,17362.57,-430.37
202,Vzhodna Slovenija,SI,Central and Eastern Europe,20.39,18500.00,5.00,79.50,276.15,41.00,30.80,89.00,17.00,81.00,-9835.91,-126.93
203,Västsverige,SE,Northern Europe,90.35,43800.00,8.40,82.70,420.85,17.00,43.40,70.10,19.20,93.00,15461.74,-490.25
204,Východné Slovensko,SK,Central and Eastern Europe,19.61,12000.00,10.90,76.60,347.60,27.00,26.60,103.90,21.20,78.00,-16334.94,-19.52
205,Warmińsko-mazurskie,PL,Central and Eastern Europe,13.61,9600.00,3.50,76.10,293.10,82.00,23.60,61.10,24.20,72.00,-18735.44,-31.38
206,Warszawski stołeczny,PL,Central and Eastern Europe,92.91,30000.00,2.10,78.00,439.58,43.00,57.20,510.20,13.40,85.20,1669.18,140.90
207,Weser-Ems,DE,Western Europe,90.85,35800.00,3.40,80.80,330.98,50.00,25.00,169.80,17.10,89.20,7463.73,-283.38
208,Wielkopolskie,PL,Central and Eastern Europe,52.16,14900.00,2.20,76.60,341.78,62.00,29.30,117.90,17.50,77.80,-13435.00,-45.98
209,Wien,AT,Western Europe,96.59,50400.00,12.10,80.20,686.75,6.00,42.70,4808.90,16.70,86.00,22126.80,4163.20
210,Zachodniopomorskie,PL,Central and Eastern Europe,19.32,11400.00,3.50,76.20,432.90,60.00,29.60,76.60,17.10,77.60,-16935.14,-35.70
211,Zahodna Slovenija,SI,Central and Eastern Europe,26.53,26500.00,4.50,81.80,381.57,35.00,41.60,126.90,11.50,89.00,-1835.98,-195.92
212,Zeeland,NL,Western Europe,13.99,36400.00,3.60,82.40,165.16,57.00,31.80,212.60,14.30,97.00,8063.82,-255.03
213,Zuid-Holland,NL,Western Europe,168.99,45000.00,5.10,81.30,369.44,22.00,44.20,1292.20,19.40,92.00,16678.53,712.72
214,Západné Slovensko,SK,Central and Eastern Europe,28.36,15600.00,4.70,77.10,277.43,57.00,22.40,123.00,11.30,79.00,-12735.15,-52.89
215,Área Metropolitana de Lisboa,PT,Southern Europe,71.43,24900.00,6.80,81.40,652.83,33.00,38.00,1015.90,17.80,83.00,-3423.05,724.28
216,Åland,FI,Northern Europe,1.17,38900.00,4.96,83.30,474.34,0.00,41.60,19.20,16.82,87.80,10561.43,-471.62
217,Észak-Alföld,HU,Central and Eastern Europe,13.23,9200.00,7.10,74.80,326.17,46.00,19.20,83.10,24.20,76.00,-19135.02,-2.48
218,Észak-Magyarország,HU,Central and Eastern Europe,10.56,9500.00,6.20,73.80,240.10,42.00,16.80,84.40,23.90,76.00,-18835.17,-8.35
219,Östra Mellansverige,SE,Northern Europe,66.87,38600.00,9.80,82.30,449.97,22.00,42.80,44.70,18.70,92.00,10261.89,-442.78
220,Övre Norrland,SE,Northern Europe,23.81,45600.00,6.10,82.20,457.75,23.00,40.00,3.40,16.60,87.00,17260.55,-580.74
221,Łódzkie,PL,Central and Eastern Europe,32.43,13200.00,4.40,75.30,387.17,90.00,30.20,135.20,16.50,79.00,-15134.58,-3.80
222,Śląskie,PL,Central and Eastern Europe,60.97,13500.00,2.90,76.10,370.10,42.00,30.70,368.80,13.80,78.60,-14831.32,225.25
223,Świętokrzyskie,PL,Central and Eastern Europe,12.08,9800.00,4.40,76.10,320.79,79.00,31.90,105.10,20.70,75.40,-18534.81,10.82
224,Ήπειρος (Ipeiros),EL,Southern Europe,3.72,11200.00,15.10,83.80,666.61,75.00,31.60,36.80,27.60,76.40,-17135.34,-64.56
225,Βόρειο Αιγαίο (Voreio Aigaio),EL,Southern Europe,2.33,10100.00,13.90,82.60,320.01,52.00,29.30,59.30,35.50,76.80,-18235.47,-38.96
226,Δυτική Ελλάδα (Dytiki Ellada),EL,Southern Europe,7.40,11400.00,17.50,81.70,494.85,89.00,25.00,59.20,40.90,77.60,-16935.34,-51.07
227,Δυτική Μακεδονία (Dytiki Makedonia),EL,Southern Europe,3.32,12600.00,19.80,81.70,343.82,38.00,26.60,28.80,34.80,78.00,-15736.09,-103.08
228,Θεσσαλία (Thessalia),EL,Southern Europe,8.71,12200.00,16.70,81.50,531.19,56.00,30.30,51.40,28.00,78.60,-16135.43,-68.45
229,Ιόνια Νησιά (Ionia Nisia),EL,Southern Europe,2.81,13800.00,13.20,81.50,525.28,44.00,23.70,89.40,25.70,76.80,-14535.08,-52.78
230,Κεντρική Μακεδονία (Kentriki Makedonia),EL,Southern Europe,22.70,12100.00,16.10,80.50,613.53,55.00,32.20,101.20,31.70,78.60,-16234.58,-14.34
231,Κρήτη (Kriti),EL,Southern Europe,8.19,12800.00,16.30,82.60,610.65,44.00,28.00,76.50,31.60,79.00,-15535.01,-48.79
232,Κύπρος (Kypros),CY,Southern Europe,21.55,24200.00,7.50,82.40,427.23,54.00,44.90,95.70,18.80,89.00,-4136.14,-193.78
233,Νότιο Αιγαίο (Notio Aigaio),EL,Southern Europe,5.45,15600.00,18.80,82.60,370.19,86.00,22.50,66.10,34.50,79.40,-12735.86,-106.66
234,Πελοπόννησος (Peloponnisos),EL,Southern Europe,7.65,13400.00,12.70,82.10,385.66,75.00,23.90,37.10,36.40,78.60,-14936.01,-104.60
235,Στερεά Ελλάδα (Sterea Ellada),EL,Southern Europe,8.38,15100.00,17.20,82.30,312.24,86.00,25.20,36.10,29.50,79.40,-13236.31,-131.77
236,Северен централен (Severen tsentralen),BG,Central and Eastern Europe,4.59,6000.00,6.70,72.80,333.20,81.00,26.50,53.10,35.90,70.00,-22335.15,11.84
237,Северозападен (Severozapaden),BG,Central and Eastern Europe,4.19,5800.00,11.10,72.10,448.70,98.00,20.70,39.00,41.30,62.00,-22535.16,4.49
238,Североизточен (Severoiztochen),BG,Central and Eastern Europe,6.19,6700.00,6.10,73.50,397.76,72.00,23.30,63.70,34.70,71.00,-21634.96,15.08
239,Югозападен (Yugozapaden),BG,Central and Eastern Europe,31.01,14800.00,3.50,74.50,444.85,45.00,43.40,103.70,22.70,71.00,-13535.05,-55.08
240,Югоизточен (Yugoiztochen),BG,Central and Eastern Europe,6.36,6200.00,5.60,73.30,341.89,88.00,22.90,52.50,36.60,65.00,-22135.17,8.74
241,Южен централен (Yuzhen tsentralen),BG,Central and Eastern Europe,8.99,6400.00,4.00,73.90,403.78,55.00,21.90,63.70,37.70,63.00,-21934.91,19.55
