time,values,unit,geo,time,region_name,year
2020-01-01,18100,EUR_HAB,ITF3,2020-01-01,Campania,2020
2020-01-01,18200,EUR_HAB,ITF4,2020-01-01,Puglia,2020
2020-01-01,21200,EUR_HAB,ITF5,2020-01-01,Basilicata,2020
2020-01-01,16500,EUR_HAB,ITF6,2020-01-01,Calabria,2020
2020-01-01,17200,EUR_HAB,ITG1,2020-01-01,Sicilia,2020
2020-01-01,20200,EUR_HAB,ITG2,2020-01-01,Sardegna,2020
2020-01-01,44400,EUR_HAB,ITH1,2020-01-01,Provincia Autonoma di Bolzano/Bozen,2020
2020-01-01,36900,EUR_HAB,ITH2,2020-01-01,Provincia Autonoma di Trento,2020
2020-01-01,31200,EUR_HAB,ITH3,2020-01-01,Veneto,2020
2020-01-01,30600,EUR_HAB,ITH4,2020-01-01,Friuli-Venezia Giulia,2020
2020-01-01,33600,EUR_HAB,ITH5,2020-01-01,Emilia-Romagna,2020
2020-01-01,30100,EUR_HAB,ITI1,2020-01-01,Toscana,2020
2020-01-01,24700,EUR_HAB,ITI2,2020-01-01,Umbria,2020
2020-01-01,26300,EUR_HAB,ITI3,2020-01-01,Marche,2020
2020-01-01,32400,EUR_HAB,ITI4,2020-01-01,Lazio,2020
2020-01-01,25600,EUR_HAB,LT01,2020-01-01,Sostinės regionas,2020
2020-01-01,14400,EUR_HAB,LT02,2020-01-01,Vidurio ir vakarų Lietuvos regionas ,2020
2020-01-01,101800,EUR_HAB,LU00,2020-01-01,Luxembourg,2020
2020-01-01,15500,EUR_HAB,LV00,2020-01-01,Latvija,2020
2020-01-01,25300,EUR_HAB,MT00,2020-01-01,Malta,2020
2020-01-01,39700,EUR_HAB,NL11,2020-01-01,Groningen,2020
2020-01-01,32300,EUR_HAB,NL12,2020-01-01,Friesland (NL),2020
2020-01-01,31500,EUR_HAB,NL13,2020-01-01,Drenthe,2020
2020-01-01,39300,EUR_HAB,NL21,2020-01-01,Overijssel,2020
2020-01-01,39200,EUR_HAB,NL22,2020-01-01,Gelderland,2020
2020-01-01,34300,EUR_HAB,NL23,2020-01-01,Flevoland,2020
2020-01-01,58100,EUR_HAB,NL31,2020-01-01,Utrecht,2020
2020-01-01,59300,EUR_HAB,NL32,2020-01-01,Noord-Holland,2020
2020-01-01,45000,EUR_HAB,NL33,2020-01-01,Zuid-Holland,2020
2020-01-01,36400,EUR_HAB,NL34,2020-01-01,Zeeland,2020
2020-01-01,47000,EUR_HAB,NL41,2020-01-01,Noord-Brabant,2020
2020-01-01,40500,EUR_HAB,NL42,2020-01-01,Limburg (NL),2020
2020-01-01,12500,EUR_HAB,PL21,2020-01-01,Małopolskie,2020
2020-01-01,13500,EUR_HAB,PL22,2020-01-01,Śląskie,2020
2020-01-01,14900,EUR_HAB,PL41,2020-01-01,Wielkopolskie,2020
2020-01-01,11400,EUR_HAB,PL42,2020-01-01,Zachodniopomorskie,2020
2020-01-01,11100,EUR_HAB,PL43,2020-01-01,Lubuskie,2020
2020-01-01,15100,EUR_HAB,PL51,2020-01-01,Dolnośląskie,2020
2020-01-01,10700,EUR_HAB,PL52,2020-01-01,Opolskie,2020
2020-01-01,11100,EUR_HAB,PL61,2020-01-01,Kujawsko-pomorskie,2020
2020-01-01,9600,EUR_HAB,PL62,2020-01-01,Warmińsko-mazurskie,2020
